Category,category_id,Subcategory,subcategory_id,amount,year
議会費,1,議会費,1,449964000,2013
総務費,2,総務管理費,2,6288440000,2013
総務費,2,徴税費,3,761863000,2013
総務費,2,戸籍住民基本台帳費,4,480265000,2013
総務費,2,選挙費,5,113967000,2013
総務費,2,統計調査費,6,23696000,2013
総務費,2,監査委員費,7,80192000,2013
民生費,3,社会福祉費,8,12850553000,2013
民生費,3,児童福祉費,9,10353526000,2013
民生費,3,生活保護費,10,3640802000,2013
民生費,3,災害救助費,11,1280000,2013
衛生費,4,保険衛生費,12,3580231000,2013
衛生費,4,清掃費,13,3321289000,2013
労働費,5,労働諸費,14,284252000,2013
農林水産業費,6,農業費,15,195895000,2013
農林水産業費,6,水産業費,16,41615000,2013
商工費,7,商工費,17,1388428000,2013
土木費,8,土木管理費,18,584776000,2013
土木費,8,道路橋りょう費,19,1486917000,2013
土木費,8,河川費,20,388335000,2013
土木費,8,都市計画総務費,21,3701941000,2013
土木費,8,住宅費,22,207637000,2013
消防費,9,消防費,23,2253392000,2013
教育費,10,教育総務費,24,906663000,2013
教育費,10,小学校費,25,1544170000,2013
教育費,10,中学校費,26,748755000,2013
教育費,10,学校給食費,27,467204000,2013
教育費,10,社会教育費,28,755107000,2013
災害復旧費,11,土木施設災害復旧費,29,3000000,2013
公債費,12,公債費,30,4365845000,2013
予備費,13,予備費,31,50000000,2013
